"Column 1","Column 2","Column 3","Column 4","Column 5"
"achupallas","achupallas","","",""
"achwa","achwa","","",""
"acidere","acidere","","",""
"acielma","acielma","","",""
"acigol","acigol","","",""
"acikalan","acikalan","","",""
"acikoy","acikoy","","",""
"acikuyu","acikuyu","","",""
"acikuyu yaylasi","acikuyu yaylasi","","",""
"acikyazi","acikyazi","","",""
"acikyol","acikyol","","",""
"acimovici","acimovici","","",""
"acin","acin","","",""
"acioz","acioz","","",""
"acipayam","acipayam","","",""
"acipinar","acipinar","","",""
"acipinar koyu","acipinar koyu","","",""
"acirli","acirli","","",""
"acisu","acisu","","",""
"acisu koyu","acisu koyu","","",""
"acka","acka","","",""
"acker","acker","","",""
"ackerville","ackerville","","",""
"ackworth","ackworth","","",""
"aclare","aclare","","",""
"acle","acle","","",""
"acma","acma","","",""
"acme","acme","","",""
"acobamba","acobamba","","",""
"acobamba hacienda","acobamba hacienda","","",""
"acobambilla","acobambilla","","",""
"acoc","acoc","","",""
"acochaca","acochaca","","",""
"acocollo","acocollo","","",""
"acocoto","acocoto","","",""
"acocra","acocra","","",""
"acoculco","acoculco","","",""
"acocunca","acocunca","","",""
"acoga","acoga","","",""
"acolman","acolman","","",""
"acom","acom","","",""
"acoma","acoma","","",""
"acomayo","acomayo","","",""
"acomb","acomb","","",""
"acon","acon","","",""
"aconangui","aconangui","","",""
"aconekie","aconekie","","",""
"aconekien","aconekien","","",""
"aconikie","aconikie","","",""
"acopampa","acopampa","","",""
"acopata","acopata","","",""
"acopinalco","acopinalco","","",""
"acopunco","acopunco","","",""
"acor","acor","","",""
"acora","acora","","",""
"acorda","acorda","","",""
"acores","acores","","",""
"acorn","acorn","","",""
"acorn acres","acorn acres","","",""
"acorn hill","acorn hill","","",""
"acos","acos","","",""
"acosta","acosta","","",""
"acoua","acoua","","",""
"acougue","acougue","","",""
"acoyotla","acoyotla","","",""
"acquabona","acquabona","","",""
"acquacalda","acquacalda","","",""
"acquafredda","acquafredda","","",""
"acquaro","acquaro","","",""
"acquaviva","acquaviva","","",""
"acra","acra","","",""
"acre","acre","","",""
"acredale","acredale","","",""
"acri","acri","","",""
"acstanya","acstanya","","",""
"actipan","actipan","","",""
"acton","acton","","",""
"actopan","actopan","","",""
"acua","acua","","",""
"acuata","acuata","","",""
"acuatempa","acuatempa","","",""
"acuautla","acuautla","","",""
"acude","acude","","",""
"acude novo","acude novo","","",""
"acude velho","acude velho","","",""
"acudinho","acudinho","","",""
"acueducto","acueducto","","",""
"acuexcomac","acuexcomac","","",""
"acuff","acuff","","",""
"acuitlapilco","acuitlapilco","","",""
"acul","acul","","",""
"acula","acula","","",""
"aculadero","aculadero","","",""
"aculco","aculco","","",""
"acumba","acumba","","",""
"acumbaro","acumbaro","","",""
"acuna","acuna","","",""
"acurenam","acurenam","","",""
"acurensoc","acurensoc","","",""
"acurizal","acurizal","","",""
"acworth","acworth","","",""
"ad dab`ah","ad dab`ah","","",""
"ad dab`iyah","ad dab`iyah","","",""
"ad dabbaghah","ad dabbaghah","","",""
"ad dabbah","ad dabbah","","",""
"ad dabi","ad dabi","","",""
"ad daff","ad daff","","",""
"ad dahiriyah","ad dahiriyah","","",""
"ad dahr","ad dahr","","",""
"ad dahrah","ad dahrah","","",""
"ad dahriyah","ad dahriyah","","",""
"ad dakhilah","ad dakhilah","","",""
"ad dakhlah","ad dakhlah","","",""
"ad dalhamiyah","ad dalhamiyah","","",""
"ad damus","ad damus","","",""
"ad daqqaqah","ad daqqaqah","","",""
"ad dar","ad dar","","",""
"ad dar al bayda'","ad dar al bayda'","","",""
"ad darah","ad darah","","",""
"ad darb","ad darb","","",""
"ad dardarah","ad dardarah","","",""
"ad dariz","ad dariz","","",""
"ad dawhah","ad dawhah","","",""
"ad dawm","ad dawm","","",""
"ad dawrah","ad dawrah","","",""
"ad dawudiyah","ad dawudiyah","","",""
"ad day`ah","ad day`ah","","",""
"ad dayq","ad dayq","","",""
"ad dayr","ad dayr","","",""
"ad dchira","ad dchira","","",""
"ad dibah","ad dibah","","",""
"ad diman","ad diman","","",""
"ad dimnah","ad dimnah","","",""
"ad dir`iyah","ad dir`iyah","","",""
"ad dirah","ad dirah","","",""
"ad diwan","ad diwan","","",""
"ad dubaybah","ad dubaybah","","",""
"ad dubayyah","ad dubayyah","","",""
"ad dubr","ad dubr","","",""
"ad dubrah","ad dubrah","","",""
"ad duhayr","ad duhayr","","",""
"ad dumaynah","ad dumaynah","","",""
"ad dur","ad dur","","",""
"ad durah","ad durah","","",""
"ad duwaykhilah","ad duwaykhilah","","",""
"ad duwaym","ad duwaym","","",""
"ad duwaymah","ad duwaymah","","",""
"ad duwayr","ad duwayr","","",""
"ad duwayrat","ad duwayrat","","",""
"ada ela","ada ela","","",""
"adaa","adaa","","",""
"adaba","adaba","","",""
"adabag","adabag","","",""
"adabai","adabai","","",""
"adabaria","adabaria","","",""
"adabay","adabay","","",""
"adabaye","adabaye","","",""
"adabo","adabo","","",""
"adaboro","adaboro","","",""
"adabotokana","adabotokana","","",""
"adacay","adacay","","",""
"adad","adad","","",""
"adad khel","adad khel","","",""
"adada","adada","","",""
"adadientem","adadientem","","",""
"adadle","adadle","","",""
"adado","adado","","",""
"adadu","adadu","","",""
"adaga","adaga","","",""
"adagba","adagba","","",""
"adago","adago","","",""
"adagum","adagum","","",""
"adah","adah","","",""
"adaha","adaha","","",""
"adahem","adahem","","",""
"adahou","adahou","","",""
"adai","adai","","",""
"adaim","adaim","","",""
"adair","adair","","",""
"adak","adak","","",""
"adaka","adaka","","",""
"adakai","adakai","","",""
"adakale","adakale","","",""
"adakent","adakent","","",""
"adakioy","adakioy","","",""
"adakli","adakli","","",""
"adako","adako","","",""
"adakoy","adakoy","","",""
"adal","adal","","",""
"adala","adala","","",""
"adalar","adalar","","",""
"adale","adale","","",""
"adalei","adalei","","",""
"adali","adali","","",""
"adalia","adalia","","",""
"adaline","adaline","","",""
"adalpur","adalpur","","",""
